"timeid","DFG_year","var","nitrogen","appl","TT","trait","group","g","trt","part","BBCH","Trait","Das","Acc_Radiation","namCombine"
"Early","DFG2021","Alves",176,"Combined",749.191666666667,"biomass","2021-03-16","Combined_176_Early","Combined 176","straw","23",0.1974999990125,145,149777,"straw_biomass23"
"Early","DFG2021","Alves",176,"Combined",749.191666666667,"tiller","2021-03-16","Combined_176_Early","Combined 176","biomasscut","23",5.24999997375,145,149777,"tiller_23"
"Early","DFG2021","Alves",176,"Combined",1026.84166666667,"biomass","2021-04-27","Combined_176_Early","Combined 176","straw","31",1.406999992965,187,306224.2,"straw_biomass31"
"Early","DFG2021","Alves",176,"Combined",1026.84166666667,"Height","2021-04-27","Combined_176_Early","Combined 176",NA,"31",20.3333333333333,187,306224.2,"Height_31"
"Early","DFG2021","Alves",176,"Combined",1026.84166666667,"tiller","2021-04-27","Combined_176_Early","Combined 176","biomasscut","31",13.64999993175,187,306224.2,"tiller_31"
"Early","DFG2021","Alves",176,"Combined",1081.425,"LI","2021-05-03","Combined_176_Early","Combined 176",NA,NA,0.464867914392945,193,330686.5,"LI"
"Early","DFG2021","Alves",176,"Combined",1106.09166666667,"LI","2021-05-06","Combined_176_Early","Combined 176",NA,NA,0.680971237046655,196,343967,"LI"
"Early","DFG2021","Alves",176,"Combined",1161.86666666667,"LAI","2021-05-10","Combined_176_Early","Combined 176",NA,NA,1.92,200,365647,"LAI"
"Early","DFG2021","Alves",176,"Combined",1161.86666666667,"LI","2021-05-10","Combined_176_Early","Combined 176",NA,NA,0.634890786708608,200,365647,"LI"
"Early","DFG2021","Alves",176,"Combined",1189.80833333333,"LAI","2021-05-12","Combined_176_Early","Combined 176",NA,NA,2.45,202,371087.7,"LAI"
"Early","DFG2021","Alves",176,"Combined",1249.22916666667,"LAI","2021-05-17","Combined_176_Early","Combined 176",NA,NA,2.655,207,394336,"LAI"
"Early","DFG2021","Alves",176,"Combined",1249.22916666667,"LI","2021-05-17","Combined_176_Early","Combined 176",NA,NA,0.802869419712025,207,394336,"LI"
"Early","DFG2021","Alves",176,"Combined",1283.27916666667,"LAI","2021-05-20","Combined_176_Early","Combined 176",NA,NA,3.63,210,409544.4,"LAI"
"Early","DFG2021","Alves",176,"Combined",1283.27916666667,"LI","2021-05-20","Combined_176_Early","Combined 176",NA,NA,0.817524069716524,210,409544.4,"LI"
"Early","DFG2021","Alves",176,"Combined",1343.12916666667,"LAI","2021-05-25","Combined_176_Early","Combined 176",NA,NA,3.81,215,432441.5,"LAI"
"Early","DFG2021","Alves",176,"Combined",1354.5375,"LAI","2021-05-26","Combined_176_Early","Combined 176",NA,NA,3.595,216,437563.3,"LAI"
"Early","DFG2021","Alves",176,"Combined",1354.5375,"LI","2021-05-26","Combined_176_Early","Combined 176",NA,NA,0.832648431363394,216,437563.3,"LI"
"Early","DFG2021","Alves",176,"Combined",1377.36666666667,"LI","2021-05-28","Combined_176_Early","Combined 176",NA,NA,0.933764988009592,218,446986.4,"LI"
"Early","DFG2021","Alves",176,"Combined",1417.54166666667,"biomass","2021-05-31","Combined_176_Early","Combined 176","straw","41",4.2199999789,221,466746.7,"straw_biomass41"
"Early","DFG2021","Alves",176,"Combined",1417.54166666667,"Height","2021-05-31","Combined_176_Early","Combined 176",NA,"41",63.6666666666667,221,466746.7,"Height_41"
