"DayTime","y","m","d","DailyMean_Temperature","Acc_Temperature","Acc_Percipitation","Acc_Radiation","DailySum_Percipitation","DailySum_Radiation","sowing_date","DFG_year"
"2018-10-25",2018,10,25,11.7208333333333,11.7208333333333,1.38,744.3,1.38,744.3,"Early","DFG2019"
"2018-10-26",2018,10,26,9.81666666666667,21.5375,4.53,1582.6,3.15,838.3,"Early","DFG2019"
"2018-10-27",2018,10,27,6.72083333333333,28.2583333333333,4.53,3177.1,0,1594.5,"Early","DFG2019"
"2018-10-28",2018,10,28,3.7625,32.0208333333333,4.53,4148.1,0,971,"Early","DFG2019"
"2018-10-29",2018,10,29,4.3625,36.3833333333333,4.59,4495.7,0.06,347.6,"Early","DFG2019"
"2018-10-30",2018,10,30,6.9125,43.2958333333333,5.09,5217.4,0.5,721.7,"Early","DFG2019"
"2018-10-31",2018,10,31,9.4125,52.7083333333333,5.09,7203.2,0,1985.8,"Early","DFG2019"
"2018-11-01",2018,11,1,7.67916666666667,60.3875,5.09,8185.6,0,982.4,"Early","DFG2019"
"2018-11-02",2018,11,2,9.025,69.4125,5.09,9106.4,0,920.8,"Early","DFG2019"
"2018-11-03",2018,11,3,5.6875,75.1,5.09,11128.6,0,2022.2,"Early","DFG2019"
"2018-11-04",2018,11,4,7.4375,82.5375,5.12,12090.4,0.03,961.8,"Early","DFG2019"
"2018-11-05",2018,11,5,10.0916666666667,92.6291666666667,5.12,12640.7,0,550.3,"Early","DFG2019"
"2018-11-06",2018,11,6,10.2916666666667,102.920833333333,5.18,13990,0.06,1349.3,"Early","DFG2019"
"2018-11-07",2018,11,7,11.275,114.195833333333,5.27,15797.9,0.09,1807.9,"Early","DFG2019"
"2018-11-08",2018,11,8,9.725,123.920833333333,5.33,16997.8,0.06,1199.9,"Early","DFG2019"
"2018-11-09",2018,11,9,10.0625,133.983333333333,6.52,18138.8,1.19,1141,"Early","DFG2019"
"2018-11-10",2018,11,10,11.2041666666667,145.1875,7,18638.4,0.48,499.6,"Early","DFG2019"
"2018-11-11",2018,11,11,12.6541666666667,157.841666666667,7.34,19563.7,0.34,925.3,"Early","DFG2019"
"2018-11-12",2018,11,12,13.0375,170.879166666667,8.9,20714.4,1.56,1150.7,"Early","DFG2019"
"2018-11-13",2018,11,13,10.3833333333333,181.2625,9.89,21515.3,0.99,800.9,"Early","DFG2019"
"2018-11-14",2018,11,14,8.53333333333333,189.795833333333,9.89,23197.4,0,1682.1,"Early","DFG2019"
