source,pic_name,detect.width,detect.length,detect.area,detect.cx,detect.cy,detect.class,confidence,truth.cx,truth.cy,truth.class,truth.width,truth.length,truth.angle,truth.area
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,36.1393641870716,58.3431907254043,2108.48581746117,1948.346784,813.26268,hair,0.627903,1946.4184,818.7857,hair,62.8,27.6,0,1733.28
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,51.3618441939567,61.8278436629451,3175.5920730645,790.263216,125.4199788,complete,0.59014,792.9184,124.2857,complete,77.6,33.6,0,2607.36
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,52.3851828813642,58.3603645184671,3057.21836832298,1945.91808,1816.204356,complete,0.564783,1950.9184,1818.7857,complete,78.4,32.4,0,2540.16
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,50.1932824714704,57.0840060062198,2865.23363807331,1059.53832,942.16932,complete,0.528915,1063.4184,943.2857,complete,73.2,36,0,2635.2
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,48.3017903022939,58.3742037114411,2819.57854673341,319.1907384,942.260202,blurry.complete,0.51112,316.4184,943.2857,complete,76.4,32.8,3.116576,2505.92
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,46.0777176605499,57.7891115624555,2662.79036642885,2380.705992,1465.080534,blurry.complete,0.50374,2380.9184,1464.7857,complete,74.4,31.6,0.035867,2351.04
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,56.0578849921714,58.6448657170275,3287.50713774646,490.021488,658.245204,complete,0.956795,490.9184,657.2857,complete,74.4,39.2,0.025322,2916.48
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,41.4141757264625,23.6153631399982,978.01079892411,308.790144,1632.121164,hair,0.931233,309.9184,1630.2857,hair,39.2,28.8,0,1128.96
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,52.6057322864514,56.0622293657577,2949.19462939668,2008.314,124.79508,blurry.complete,0.915287,2005.4184,123.2857,blurry.complete,69.2,36,0,2491.2
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,54.2920462952259,57.2866182375817,3110.20772945171,1091.09592,663.152346,complete,0.914379,1089.9184,662.2857,complete,73.6,39.2,0,2885.12
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,49.8276790672962,59.1423297217526,2946.9250246677,1254.516336,1812.664332,blurry.complete,0.907506,1256.9184,1810.7857,blurry.complete,80,35.6,0,2848
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,46.3305608093432,54.1237183148827,2507.58222261543,524.578032,1808.858952,blurry.complete,0.891116,526.9184,1808.7857,blurry.complete,75.2,32.4,0,2436.48
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,48.749460621592,51.3579064974631,2503.67024040548,2411.587728,664.856748,blurry.complete,0.884931,2417.4184,664.7857,blurry.complete,66,36.4,0,2402.4
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,40.9405406029563,45.4582287075275,1861.084458139,2318.866056,1665.924408,hair,0.871256,2315.4184,1657.7857,hair,36.4,41.2,0,1499.68
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,52.9241447110174,59.3217815438528,3139.55455094222,1387.693296,127.50939,blurry.complete,0.867348,1387.9184,126.2857,complete,78.4,35.2,0,2759.68
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,51.823588279595,57.0678334743511,2957.45990598326,1723.477824,1453.750416,complete,0.847098,1729.9184,1455.2857,complete,72.8,36,0,2620.8
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,52.2405198865741,58.921435849339,3078.08644123289,1547.799192,651.14037,complete,0.845557,1552.9184,650.2857,complete,76.8,36.8,0,2826.24
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,34.7574787248967,49.4614308555393,1719.15463066436,848.347344,823.29858,hair,0.832426,852.9184,820.7857,hair,68.8,29.2,0,2008.96
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,48.1401163543353,27.781988477942,1337.42815788293,48.823717464,1810.769904,blurry.complete,0.797453,46.9592,1811.8265,blurry.incomplete,37.56736,33.23264,0,1248.4625506304
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,29.3705108244851,30.1810010711438,886.431418653823,1386.110232,1638.543168,hair,0.796192,1381.9184,1633.2857,hair,31.2,32.8,0,1023.36
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,46.99925217129,56.5870000779783,2659.54668628171,1641.184416,931.002984,complete,0.760411,1644.9184,929.2857,complete,73.6,32.8,0,2414.08
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,27.0716814179178,47.4380804378927,1284.22860069219,2544.45624,163.273158,hair,0.757494,2533.2407,161.6524,hair,18.32808,46.07268,0.835129,844.4237648544
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,48.4040554709152,58.902465843504,2851.11822406265,1090.849032,1463.46264,complete,0.756545,1089.9184,1460.7857,complete,78.4,33.2,0,2602.88
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,42.3083378968104,49.4660671525095,2092.82708351468,258.3221544,810.70146,hair,0.737899,247.9184,817.2857,hair,72.8,31.2,3.069737,2271.36
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,48.2714091789027,57.4022475267967,2770.88737815466,289.0746144,129.085488,blurry.complete,0.694993,285.7967,124.5588,complete,75.1104,33.80016,3.136026,2538.743537664
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,50.5295653106384,58.7744146905318,2969.84562569977,1974.82536,652.65912,blurry.complete,0.690117,1977.9184,649.2857,blurry.complete,76.8,37.6,0,2887.68
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,47.144502487311,55.3960735990322,2611.62032957683,565.495344,1461.376242,complete,0.643444,563.4184,1459.7857,complete,73.2,32.4,0,2371.68
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,49.8804688609892,56.8628541625938,2836.34582640423,2160.214272,941.205096,blurry.complete,0.635445,2164.9666,939.2852,complete,72.83704,35.8748,0.023833,2613.014242592
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,18.6959854273175,18.8865794404889,353.103213991256,1273.336848,329.83362,hair,0.899727,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,31.0240726398476,36.5171799957334,1132.91164479002,2141.061336,1379.251962,hair,0.898772,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,21.3197280847979,12.4917728435619,266.321200321802,180.3037968,412.10613,hair,0.877133,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,41.8843130278727,37.069597688841,1552.63463341672,1391.389488,1383.150654,hair,0.857394,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,14.4556513068841,15.3410315270587,221.764602443077,139.9892544,1036.372158,hair,0.810451,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,11.9950259767602,30.3157409892052,363.638100670251,537.173856,1166.626962,hair,0.763302,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,32.2087647797645,36.7513538248646,1183.71571068296,406.897344,1826.210124,hair,0.699057,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,14.9148110749619,20.2463356155927,301.970270666836,1397.050416,776.004948,hair,0.652028,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,23.6342890914299,16.745032618322,395.756941746846,1123.319664,1866.88881,hair,0.586273,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,21.8465482522769,14.984180849545,327.352629950429,187.9314048,1775.614608,hair,0.562155,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,42.5228200033974,27.7217861770699,1178.80852378021,809.78292,1877.65128,hair,0.559852,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,15.1876537241756,11.175518409697,169.729903794627,1870.76952,345.168378,hair,0.557097,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,17.1602529818036,11.0492802689422,189.608444681898,1689.639264,486.075816,hair,0.544417,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,19.6964343055587,31.9849528475976,629.989522529097,1780.636608,604.5111,hair,0.5021,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,4.90045813260945,30.6049337302811,149.978196396529,8.119690776,1457.497962,complete,0.484693,,,,,,,
240pictures.csv,T32L75_W3_A4_R5_P266_g97_4,12.1591587164847,12.1641892722482,147.906308018626,561.060432,1368.22608,hair,0.428116,,,,,,,
