"pic_name","detect.bcn","detect.cn","detect.n","detect.density","true.bcn","true.cn","true.n","true.density","true.area_mean","surface_tp","BRISONr","Genotype","code","breeder","Year_of_release","Quality_recent","Release_state","Hybrid.status","Group","RYear"
"T32L75_W3_A4_R5_P266_g97_4",10,10,20,24.8138957816377,5,15,20,24.8138957816377,2612.7078890128,"abaxial",97,"Saturn","BRISONr_97","MPI",1973,"C","Deutschland","non-hybrid","SK",1973
"T32L75_W3_A4_R5_P266_g97_8",26,9,35,43.424317617866,27,8,35,43.424317617866,2378.34683569207,"adaxial",97,"Saturn","BRISONr_97","MPI",1973,"C","Deutschland","non-hybrid","SK",1973
"T32L75_W3_A4_R5_P267_g44_3",11,13,24,29.7766749379653,9,15,24,29.7766749379653,2391.21849586893,"abaxial",44,"Forum","BRISONr_44","Nordsaat Saatzucht",2012,"A","DE/EE/PO/SE","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P267_g44_8",23,6,29,35.9801488833747,27,2,29,35.9801488833747,1998.00693134086,"adaxial",44,"Forum","BRISONr_44","Nordsaat Saatzucht",2012,"A","DE/EE/PO/SE","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P269_g80_1",10,9,19,23.5732009925558,8,11,19,23.5732009925558,2550.88987541474,"abaxial",80,"Inspiration","BRISONr_80","Saatzucht Josef Breun GmbH & Co.KG",2007,"B","Deutschland","non-hybrid","SK",2007
"T32L75_W3_A4_R5_P269_g80_6",12,13,25,31.0173697270471,8,18,26,32.258064516129,2507.68979446191,"adaxial",80,"Inspiration","BRISONr_80","Saatzucht Josef Breun GmbH & Co.KG",2007,"B","Deutschland","non-hybrid","SK",2007
"T32L75_W3_A4_R5_P271_g55_4",20,2,22,27.2952853598015,20,2,22,27.2952853598015,1841.99658504735,"abaxial",55,"Pionier","BRISONr_55","Deutsche Saatveredelung",2013,"A","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P271_g55_7",29,3,32,39.7022332506203,25,7,32,39.7022332506203,2250.1168723655,"adaxial",55,"Pionier","BRISONr_55","Deutsche Saatveredelung",2013,"A","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P273_g12_3",11,9,20,24.8138957816377,9,11,20,24.8138957816377,3459.59978176328,"abaxial",12,"Meister","BRISONr_12","RAGT/Mellinger",2010,"A","Deutschland","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P273_g12_6",10,22,32,39.7022332506203,4,28,32,39.7022332506203,3352.42863523615,"adaxial",12,"Meister","BRISONr_12","RAGT/Mellinger",2010,"A","Deutschland","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P274_g50_1",21,0,21,26.0545905707196,18,3,21,26.0545905707196,2399.46289438956,"abaxial",50,"Hermann","BRISONr_50","Limagrain-Nickerson",2004,"C","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P274_g50_6",35,1,36,44.6650124069479,35,1,36,44.6650124069479,2439.34334612942,"adaxial",50,"Hermann","BRISONr_50","Limagrain-Nickerson",2004,"C","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P277_g16_4",12,10,22,27.2952853598015,6,16,22,27.2952853598015,3325.01303578036,"abaxial",16,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R5_P277_g16_7",28,9,37,45.9057071960298,17,20,37,45.9057071960298,3055.38466106577,"adaxial",16,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R5_P278_g35_4",6,16,22,27.2952853598015,5,17,22,27.2952853598015,3019.58640042567,"abaxial",35,"Cubus","BRISONr_35","Lochow-Petkus",2002,"A","Deutschland","non-hybrid","SK",2002
"T32L75_W3_A4_R5_P278_g35_5",22,13,35,43.424317617866,3,32,35,43.424317617866,3187.36094980782,"adaxial",35,"Cubus","BRISONr_35","Lochow-Petkus",2002,"A","Deutschland","non-hybrid","SK",2002
"T32L75_W3_A4_R5_P280_g29_4",11,12,23,28.5359801488834,15,8,23,28.5359801488834,2272.98561536925,"abaxial",29,"Anapolis","BRISONr_29","NORDSAAT Saatzuchtgesellschaft",2013,"C","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P280_g29_5",26,5,31,38.4615384615385,12,19,31,38.4615384615385,2920.23354625213,"adaxial",29,"Anapolis","BRISONr_29","NORDSAAT Saatzuchtgesellschaft",2013,"C","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P283_g48_4",9,13,22,27.2952853598015,9,13,22,27.2952853598015,2752.66694009178,"abaxial",48,"Gaucho","BRISONr_48","USDA-ARS, Oklahoma AES",1993,NA,"USA","non-hybrid","SK",NA
"T32L75_W3_A4_R5_P283_g48_8",26,5,31,38.4615384615385,19,12,31,38.4615384615385,2561.5826194737,"adaxial",48,"Gaucho","BRISONr_48","USDA-ARS, Oklahoma AES",1993,NA,"USA","non-hybrid","SK",NA
"T32L75_W3_A4_R5_P284_g100_1",11,7,18,22.3325062034739,10,9,19,23.5732009925558,2728.84875780977,"abaxial",100,"Kerubino","BRISONr_100","Saatzucht Schmid Landau",2004,"E","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P284_g100_7",13,9,22,27.2952853598015,12,10,22,27.2952853598015,2407.77940614989,"adaxial",100,"Kerubino","BRISONr_100","Saatzucht Schmid Landau",2004,"E","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P286_g103_2",4,13,17,21.0918114143921,4,13,17,21.0918114143921,3335.50886019247,"abaxial",103,"Orestis","BRISONr_103","Strube, Dr. H.",1988,"B","Deutschland","non-hybrid","SK",1988
"T32L75_W3_A4_R5_P286_g103_7",5,16,21,26.0545905707196,13,8,21,26.0545905707196,2735.96091014377,"adaxial",103,"Orestis","BRISONr_103","Strube, Dr. H.",1988,"B","Deutschland","non-hybrid","SK",1988
"T32L75_W3_A4_R5_P287_g105_1",9,11,20,24.8138957816377,8,12,20,24.8138957816377,2870.09855856048,"abaxial",105,"Anthus","BRISONr_105","KWS Lochow GmbH",2005,"B","Deutschland","non-hybrid","SK",2005
"T32L75_W3_A4_R5_P287_g105_5",29,8,37,45.9057071960298,23,14,37,45.9057071960298,2845.35743558941,"adaxial",105,"Anthus","BRISONr_105","KWS Lochow GmbH",2005,"B","Deutschland","non-hybrid","SK",2005
"T32L75_W3_A4_R5_P290_g67_1",21,0,21,26.0545905707196,12,9,21,26.0545905707196,2722.47393275771,"abaxial",67,"Elixer","BRISONr_67","v. Borris-Eckendorf",2012,"C","Deutschland","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P290_g67_7",29,3,32,39.7022332506203,27,5,32,39.7022332506203,2649.80174089345,"adaxial",67,"Elixer","BRISONr_67","v. Borris-Eckendorf",2012,"C","Deutschland","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P292_g31_1",19,1,20,24.8138957816377,13,7,20,24.8138957816377,3543.14688750944,"abaxial",31,"Biscay","BRISONr_31","Lochow-Petkus",2000,"C","Deutschland","non-hybrid","SK",2000
"T32L75_W3_A4_R5_P292_g31_7",26,0,26,32.258064516129,17,9,26,32.258064516129,3165.41703157354,"adaxial",31,"Biscay","BRISONr_31","Lochow-Petkus",2000,"C","Deutschland","non-hybrid","SK",2000
